patent_number,date,title,tokens,nltk_pos,is_prpn_nltk,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len
US180600A,1876-08-01,Philip kbumscheid ,"['Philip', 'kbumscheid']","[('Philip', 'NNP'), ('kbumscheid', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US180755A,1876-08-08,Liyiprpvementjn radiators ,"['Liyiprpvementjn', 'radiators']","[('Liyiprpvementjn', 'NNP'), ('radiators', 'NNS')]",1,"['NOUN', 'NOUN']",['PERSON'],0,1,2
US180957A,1876-08-08,Adolph steinheil and edward ,"['Adolph', 'steinheil', 'and', 'edward']","[('Adolph', 'NNP'), ('steinheil', 'NN'), ('and', 'CC'), ('edward', 'NN')]",1,"['PROPN', 'NOUN', 'CCONJ', 'PROPN']",['PERSON'],1,1,4
US181027A,1876-08-15,bartlett ,['bartlett'],"[('bartlett', 'NN')]",0,['PROPN'],['PERSON'],1,1,1
US181193A,1876-08-15,Stephen maetin ,"['Stephen', 'maetin']","[('Stephen', 'NNP'), ('maetin', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US181244A,1876-08-22,John campbell ,"['John', 'campbell']","[('John', 'NNP'), ('campbell', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US181274A,1876-08-22,Jmprovementin butter-workers ,"['Jmprovementin', 'butter-workers']","[('Jmprovementin', 'NNP'), ('butter-workers', 'NNS')]",1,"['PROPN', 'NOUN', 'PUNCT', 'NOUN']",['PERSON'],1,1,4
US181930A,1876-09-05,William b ,"['William', 'b']","[('William', 'NNP'), ('b', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US181935A,1876-09-05,Michael gollahee ,"['Michael', 'gollahee']","[('Michael', 'NNP'), ('gollahee', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US182095A,1876-09-12,Juan abnao and juan aenao ,"['Juan', 'abnao', 'and', 'juan', 'aenao']","[('Juan', 'NNP'), ('abnao', 'NN'), ('and', 'CC'), ('juan', 'NN'), ('aenao', 'NN')]",1,"['PROPN', 'PROPN', 'CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,5
US182215A,1876-09-12,john mcmurtry ,"['john', 'mcmurtry']","[('john', 'NN'), ('mcmurtry', 'NN')]",0,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US182260A,1876-09-12,Thomas winans ,"['Thomas', 'winans']","[('Thomas', 'NNP'), ('winans', 'NNS')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US182279A,1876-09-19,John l ,"['John', 'l']","[('John', 'NNP'), ('l', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US182285A,1876-09-19,nelson paddack ,"['nelson', 'paddack']","[('nelson', 'JJ'), ('paddack', 'NN')]",0,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US182401A,1876-09-19,Thomas baeeett ,"['Thomas', 'baeeett']","[('Thomas', 'NNP'), ('baeeett', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US182421A,1876-09-19,Baymoito oahug ,"['Baymoito', 'oahug']","[('Baymoito', 'NNP'), ('oahug', 'NN')]",1,"['PROPN', 'VERB']",['PERSON'],1,1,2
US182717A,1876-09-26,John j ,"['John', 'j']","[('John', 'NNP'), ('j', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US182853A,1876-10-03,John j ,"['John', 'j']","[('John', 'NNP'), ('j', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US182992A,1876-10-10,William w ,"['William', 'w']","[('William', 'NNP'), ('w', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US183479A,1876-10-17,William n ,"['William', 'n']","[('William', 'NNP'), ('n', 'NN')]",1,"['PROPN', 'CCONJ']",['PERSON'],1,1,2
US184358A,1876-11-14,William ennis ,"['William', 'ennis']","[('William', 'NNP'), ('ennis', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US184501A,1876-11-21,William g ,"['William', 'g']","[('William', 'NNP'), ('g', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US184570A,1876-11-21,John bailey ,"['John', 'bailey']","[('John', 'NNP'), ('bailey', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US184628A,1876-11-21,Isaac kendbick ,"['Isaac', 'kendbick']","[('Isaac', 'NNP'), ('kendbick', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US184806A,1876-11-28,thompson ,['thompson'],"[('thompson', 'NN')]",0,['PROPN'],['PERSON'],1,1,1
US185214A,1876-12-12,Henby bollmann condy ,"['Henby', 'bollmann', 'condy']","[('Henby', 'NNP'), ('bollmann', 'NN'), ('condy', 'NN')]",1,"['PROPN', 'ADJ', 'NOUN']",['PERSON'],1,1,3
US185350A,1876-12-12,Jothrem m ,"['Jothrem', 'm']","[('Jothrem', 'NNP'), ('m', 'NN')]",1,"['PROPN', 'VERB']",['PERSON'],1,1,2
US185620A,1876-12-26,John f ,"['John', 'f']","[('John', 'NNP'), ('f', 'NN')]",1,"['PROPN', 'X']",['PERSON'],1,1,2
US186013A,1877-01-09,John s ,"['John', 's']","[('John', 'NNP'), ('s', 'NN')]",1,"['PROPN', 'PART']",['PERSON'],1,1,2
US186084A,1877-01-09,Joseph s ,"['Joseph', 's']","[('Joseph', 'NNP'), ('s', 'NN')]",1,"['PROPN', 'VERB']",['PERSON'],1,1,2
US186112A,1877-01-09,William d ,"['William', 'd']","[('William', 'NNP'), ('d', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US186134A,1877-01-09,Welmee t ,"['Welmee', 't']","[('Welmee', 'NNP'), ('t', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
