patent_number,date,title,tokens,nltk_pos,is_prpn_nltk,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len
US4671A,1846-07-28 00:00:00,Machinery for cutting threads on screws and nuts ,"['Machinery', 'for', 'cutting', 'threads', 'on', 'screws', 'and', 'nuts']","[('Machinery', 'NN'), ('for', 'IN'), ('cutting', 'VBG'), ('threads', 'NNS'), ('on', 'IN'), ('screws', 'NNS'), ('and', 'CC'), ('nuts', 'NNS')]",0,"['PROPN', 'ADP', 'VERB', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN']",[],1,0,8
US4672A,1846-07-28 00:00:00,Hobse-yoke ,['Hobse-yoke'],"[('Hobse-yoke', 'NN')]",0,"['PROPN', 'PUNCT', 'NOUN']",['ORG'],1,0,3
US4674A,1846-07-28 00:00:00,Augustus mcburth ,"['Augustus', 'mcburth']","[('Augustus', 'NNP'), ('mcburth', 'NN')]",1,"['PROPN', 'VERB']",[],1,0,2
US4675A,1846-07-31 00:00:00,Sttbveyob s compass ,"['Sttbveyob', 's', 'compass']","[('Sttbveyob', 'NNP'), ('s', 'PRP'), ('compass', 'NN')]",1,"['PROPN', 'PART', 'NOUN']",[],1,0,3
US4687A,1846-08-12 00:00:00,Thomas a ,"['Thomas', 'a']","[('Thomas', 'NNP'), ('a', 'DT')]",1,"['PROPN', 'PRON']",[],1,0,2
US4697A,1846-08-18 00:00:00,Manufacture of ice ,"['Manufacture', 'of', 'ice']","[('Manufacture', 'NN'), ('of', 'IN'), ('ice', 'NN')]",0,"['PROPN', 'ADP', 'NOUN']",[],1,0,3
US4705A,1846-08-20 00:00:00,geoqtiemann ,['geoqtiemann'],"[('geoqtiemann', 'NN')]",0,['PROPN'],['ORG'],1,0,1
US4715A,1846-08-26 00:00:00,Spark-aerestee ,['Spark-aerestee'],"[('Spark-aerestee', 'NN')]",0,"['PROPN', 'PUNCT', 'PROPN']",['ORG'],1,0,3
US4720A,1846-08-26 00:00:00,Peters ,['Peters'],"[('Peters', 'NNP')]",1,['PROPN'],[],1,0,1
US4742A,1846-09-05 00:00:00,X t tailorx s s measure ,"['X', 't', 'tailorx', 's', 's', 'measure']","[('X', 'NN'), ('t', 'NN'), ('tailorx', 'NN'), ('s', 'NN'), ('s', 'JJ'), ('measure', 'NN')]",0,"['NOUN', 'NOUN', 'PROPN', 'PART', 'PART', 'NOUN']",['PRODUCT'],1,0,6
