patent_number,date,title,tokens,nltk_pos,is_prpn_nltk,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,bad_endings
US129789A,1872-07-23,Teeeitoet ,['Teeeitoet'],"[('Teeeitoet', 'NN')]",0,['NOUN'],[],0,0,1,0
US129811A,1872-07-23,gliddbn ,['gliddbn'],"[('gliddbn', 'NN')]",0,['VERB'],[],0,0,1,0
US129864A,1872-07-23,rogers ,['rogers'],"[('rogers', 'NNS')]",0,['NOUN'],[],0,0,1,0
US129878A,1872-07-23,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US129931A,1872-07-30,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US129997A,1872-07-30,walker ,['walker'],"[('walker', 'NN')]",0,['VERB'],[],0,0,1,0
US130048A,1872-07-30,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US130354A,1872-08-13,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US130355A,1872-08-13,Bedsteads ,['Bedsteads'],"[('Bedsteads', 'NNS')]",0,['NOUN'],[],0,0,1,0
US130385A,1872-08-13,mcclure ,['mcclure'],"[('mcclure', 'NN')]",0,['VERB'],[],0,0,1,0
US130398A,1872-08-13,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US130455A,1872-08-13,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US130599A,1872-08-20,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US130634A,1872-08-20,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US130652A,1872-08-20,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US130688A,1872-08-20,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US130706A,1872-08-20,fertig ,['fertig'],"[('fertig', 'NN')]",0,['INTJ'],[],0,0,1,0
US130718A,1872-08-20,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US130740A,1872-08-20,phelps ,['phelps'],"[('phelps', 'NN')]",0,['NOUN'],[],0,0,1,0
US130758A,1872-08-20,somers ,['somers'],"[('somers', 'NNS')]",0,['NOUN'],[],0,0,1,0
US130762A,1872-08-20,Improveivient ,['Improveivient'],"[('Improveivient', 'NN')]",0,['NOUN'],[],0,0,1,0
US130802A,1872-08-27,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US130811A,1872-08-27,little ,['little'],"[('little', 'JJ')]",0,['ADJ'],[],0,0,1,0
US130834A,1872-08-27,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US130940A,1872-08-27,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US130952A,1872-08-27,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US130995A,1872-09-03,hayden ,['hayden'],"[('hayden', 'NN')]",0,['VERB'],[],0,0,1,0
US131072A,1872-09-03,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US131079A,1872-09-03,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US131106A,1872-09-03,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US131126A,1872-09-03,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US131149A,1872-09-10,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US131206A,1872-09-10,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US131208A,1872-09-10,Assigm ,['Assigm'],"[('Assigm', 'NN')]",0,['NOUN'],[],0,0,1,0
US131245A,1872-09-10,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US131248A,1872-09-10,bbowf ,['bbowf'],"[('bbowf', 'NN')]",0,['ADJ'],[],0,0,1,0
US131310A,1872-09-10,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US131361A,1872-09-17,mallery ,['mallery'],"[('mallery', 'NN')]",0,['NOUN'],[],0,0,1,0
US131483A,1872-09-17,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US131591A,1872-09-24,Fmprovement ,['Fmprovement'],"[('Fmprovement', 'NN')]",0,['NOUN'],[],0,0,1,0
US131744A,1872-10-01,cooley ,['cooley'],"[('cooley', 'NN')]",0,['NOUN'],[],0,0,1,0
US131809A,1872-10-01,byrne ,['byrne'],"[('byrne', 'NN')]",0,['VERB'],[],0,0,1,0
US131969A,1872-10-08,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US132015A,1872-10-08,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US132356A,1872-10-22,Witneisses ,['Witneisses'],"[('Witneisses', 'NNS')]",0,['NOUN'],[],0,0,1,0
US132400A,1872-10-22,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US132475A,1872-10-22,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US132505A,1872-10-22,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US132514A,1872-10-22,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US132594A,1872-10-29,winter ,['winter'],"[('winter', 'NN')]",0,['NOUN'],['DATE'],0,0,1,0
US132721A,1872-11-05,gueeeeeo ,['gueeeeeo'],"[('gueeeeeo', 'NN')]",0,['VERB'],[],0,0,1,0
US132724A,1872-11-05,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US132731A,1872-11-05,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US132745A,1872-11-05,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US132748A,1872-11-05,Iiviproveivie ,['Iiviproveivie'],"[('Iiviproveivie', 'NN')]",0,['NOUN'],[],0,0,1,0
US132768A,1872-11-05,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US132785A,1872-11-05,foote ,['foote'],"[('foote', 'NN')]",0,['VERB'],[],0,0,1,0
US132903A,1872-11-12,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US132912A,1872-11-12,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US132969A,1872-11-12,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US133043A,1872-11-12,Iiviprovep ,['Iiviprovep'],"[('Iiviprovep', 'NN')]",0,['NOUN'],[],0,0,1,0
US133066A,1872-11-12,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US133141A,1872-11-19,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US133162A,1872-11-19,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US133223A,1872-11-19,Island ,['Island'],"[('Island', 'NN')]",0,['NOUN'],[],0,0,1,0
US133232A,1872-11-19,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US133234A,1872-11-19,Rockets ,['Rockets'],"[('Rockets', 'NNS')]",0,['NOUN'],[],0,0,1,0
US133249A,1872-11-19,pearse ,['pearse'],"[('pearse', 'NN')]",0,['ADJ'],[],0,0,1,0
