patent_number,date,title,tokens,nltk_pos,is_prpn_nltk,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len
US64467A,1867-05-07,Samuel h ,"['Samuel', 'h']","[('Samuel', 'NNP'), ('h', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US64468A,1867-05-07,allen ,['allen'],"[('allen', 'NN')]",0,['VERB'],['PERSON'],0,1,1
US64471A,1867-05-07,Stephen ballard ,"['Stephen', 'ballard']","[('Stephen', 'NNP'), ('ballard', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US64472A,1867-05-07,John bally ,"['John', 'bally']","[('John', 'NNP'), ('bally', 'RB')]",1,"['PROPN', 'ADV']",['PERSON'],1,1,2
US64476A,1867-05-07,John b l a c kx i i e ,"['John', 'b', 'l', 'a', 'c', 'kx', 'i', 'i', 'e']","[('John', 'NNP'), ('b', 'NN'), ('l', 'NN'), ('a', 'DT'), ('c', 'JJ'), ('kx', 'NN'), ('i', 'NN'), ('i', 'VBP'), ('e', 'VBP')]",1,"['PROPN', 'PROPN', 'NOUN', 'DET', 'NOUN', 'INTJ', 'PRON', 'PRON', 'VERB']",['PERSON'],1,1,9
US64479A,1867-05-07,Edward botjene ,"['Edward', 'botjene']","[('Edward', 'NNP'), ('botjene', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US64480A,1867-05-07,James n ,"['James', 'n']","[('James', 'NNP'), ('n', 'MD')]",1,"['PROPN', 'ADV']",['PERSON'],1,1,2
US64485A,1867-05-07,Edwin h ,"['Edwin', 'h']","[('Edwin', 'NNP'), ('h', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US64488A,1867-05-07,Lewis s ,"['Lewis', 's']","[('Lewis', 'NNP'), ('s', 'NN')]",1,"['PROPN', 'PART']",['PERSON'],1,1,2
US64490A,1867-05-07,John christley ,"['John', 'christley']","[('John', 'NNP'), ('christley', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US64494A,1867-05-07,Edwin w ,"['Edwin', 'w']","[('Edwin', 'NNP'), ('w', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US64501A,1867-05-07,Thomas de witt ,"['Thomas', 'de', 'witt']","[('Thomas', 'NNP'), ('de', 'FW'), ('witt', 'NN')]",1,"['PROPN', 'X', 'X']",['PERSON'],1,1,3
US64508A,1867-05-07,Michael b ,"['Michael', 'b']","[('Michael', 'NNP'), ('b', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US64518A,1867-05-07,Joel gaefield of groton ,"['Joel', 'gaefield', 'of', 'groton']","[('Joel', 'NNP'), ('gaefield', 'NN'), ('of', 'IN'), ('groton', 'NN')]",1,"['PROPN', 'NOUN', 'ADP', 'PROPN']",['PERSON'],1,1,4
US64519A,1867-05-07,William l ,"['William', 'l']","[('William', 'NNP'), ('l', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US64521A,1867-05-07,William f ,"['William', 'f']","[('William', 'NNP'), ('f', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US64527A,1867-05-07,robert anthony hardcastle ,"['robert', 'anthony', 'hardcastle']","[('robert', 'NN'), ('anthony', 'NN'), ('hardcastle', 'NN')]",0,"['PROPN', 'PROPN', 'PROPN']",['PERSON'],1,1,3
US64530A,1867-05-07,Edward deuckbb ,"['Edward', 'deuckbb']","[('Edward', 'NNP'), ('deuckbb', 'NN')]",1,"['PROPN', 'VERB']",['PERSON'],1,1,2
US64533A,1867-05-07,William s ,"['William', 's']","[('William', 'NNP'), ('s', 'NN')]",1,"['PROPN', 'PART']",['PERSON'],1,1,2
US64538A,1867-05-07,Samuel w ,"['Samuel', 'w']","[('Samuel', 'NNP'), ('w', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US64540A,1867-05-07,Peter m ,"['Peter', 'm']","[('Peter', 'NNP'), ('m', 'NN')]",1,"['PROPN', 'VERB']",['PERSON'],1,1,2
