patent_number,date,title,tokens,nltk_pos,is_prpn_nltk,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,bad_endings,bad_starts
US64157A,1867-04-23,To all whom it mat concern ,"['To', 'all', 'whom', 'it', 'mat', 'concern']","[('To', 'TO'), ('all', 'DT'), ('whom', 'WP'), ('it', 'PRP'), ('mat', 'VBZ'), ('concern', 'NN')]",0,"['ADP', 'PRON', 'PRON', 'PRON', 'NOUN', 'NOUN']",[],0,0,6,0,1
US64185A,1867-04-30,The graphic co ,"['The', 'graphic', 'co']","[('The', 'DT'), ('graphic', 'JJ'), ('co', 'NN')]",0,"['DET', 'ADJ', 'NOUN']",[],0,0,3,0,1
US64364A,1867-04-30,of worcester ,"['of', 'worcester']","[('of', 'IN'), ('worcester', 'NN')]",0,"['ADP', 'NOUN']",[],0,0,2,0,1
US64391A,1867-04-30,To all whom it may concern ,"['To', 'all', 'whom', 'it', 'may', 'concern']","[('To', 'TO'), ('all', 'DT'), ('whom', 'WP'), ('it', 'PRP'), ('may', 'MD'), ('concern', 'NN')]",0,"['ADP', 'PRON', 'PRON', 'PRON', 'AUX', 'VERB']",[],0,0,6,0,1
US64447A,1867-05-07,of worcester ,"['of', 'worcester']","[('of', 'IN'), ('worcester', 'NN')]",0,"['ADP', 'NOUN']",[],0,0,2,0,1
US64510A,1867-05-07,The graphic co ,"['The', 'graphic', 'co']","[('The', 'DT'), ('graphic', 'JJ'), ('co', 'NN')]",0,"['DET', 'ADJ', 'NOUN']",[],0,0,3,0,1
US64543A,1867-05-07,of new yobk ,"['of', 'new', 'yobk']","[('of', 'IN'), ('new', 'JJ'), ('yobk', 'NN')]",0,"['ADP', 'ADJ', 'NOUN']",[],0,0,3,0,1
US64707A,1867-05-14,J a cob reedy ,"['J', 'a', 'cob', 'reedy']","[('J', 'NNP'), ('a', 'DT'), ('cob', 'NN'), ('reedy', 'NN')]",1,"['DET', 'DET', 'NOUN', 'NOUN']",[],0,0,4,0,1
US65054A,1867-05-28,The graphic co ,"['The', 'graphic', 'co']","[('The', 'DT'), ('graphic', 'JJ'), ('co', 'NN')]",0,"['DET', 'ADJ', 'NOUN']",[],0,0,3,0,1
US65157A,1867-05-28,A simm ,"['A', 'simm']","[('A', 'DT'), ('simm', 'NN')]",0,"['DET', 'NOUN']",[],0,0,2,0,1
US65172A,1867-05-28,To all whom it may concern ,"['To', 'all', 'whom', 'it', 'may', 'concern']","[('To', 'TO'), ('all', 'DT'), ('whom', 'WP'), ('it', 'PRP'), ('may', 'MD'), ('concern', 'NN')]",0,"['ADP', 'PRON', 'PRON', 'PRON', 'AUX', 'VERB']",[],0,0,6,0,1
US65237A,1867-05-28,of nassau ,"['of', 'nassau']","[('of', 'IN'), ('nassau', 'NN')]",0,"['ADP', 'NOUN']",[],0,0,2,0,1
US65614A,1867-06-11,En sealer ,"['En', 'sealer']","[('En', 'NNP'), ('sealer', 'NN')]",1,"['ADP', 'NOUN']",[],0,0,2,0,1
US65617A,1867-06-11,A mbrose tower ,"['A', 'mbrose', 'tower']","[('A', 'DT'), ('mbrose', 'NN'), ('tower', 'NN')]",0,"['DET', 'NOUN', 'NOUN']",[],0,0,3,0,1
US65712A,1867-06-11,The graphic co ,"['The', 'graphic', 'co']","[('The', 'DT'), ('graphic', 'JJ'), ('co', 'NN')]",0,"['DET', 'ADJ', 'NOUN']",[],0,0,3,0,1
US65714A,1867-06-11,Of pine village ,"['Of', 'pine', 'village']","[('Of', 'IN'), ('pine', 'JJ'), ('village', 'NN')]",0,"['ADP', 'ADJ', 'NOUN']",[],0,0,3,0,1
US65836A,1867-06-18,Dayid saunderson ,"['Dayid', 'saunderson']","[('Dayid', 'NNP'), ('saunderson', 'NN')]",1,"['DET', 'NOUN']",[],0,0,2,0,1
US65907A,1867-06-18,of victor ,"['of', 'victor']","[('of', 'IN'), ('victor', 'NN')]",0,"['ADP', 'NOUN']",[],0,0,2,0,1
US65945A,1867-06-18,The nqbrls peters co ,"['The', 'nqbrls', 'peters', 'co']","[('The', 'DT'), ('nqbrls', 'JJ'), ('peters', 'NNS'), ('co', 'VBP')]",0,"['DET', 'NOUN', 'NOUN', 'VERB']",[],0,0,4,0,1
US65975A,1867-06-18,To whom it ,"['To', 'whom', 'it']","[('To', 'TO'), ('whom', 'WP'), ('it', 'PRP')]",0,"['ADP', 'PRON', 'PRON']",[],0,0,3,0,1
US66532A,1867-07-09,The eckert ut ,"['The', 'eckert', 'ut']","[('The', 'DT'), ('eckert', 'NN'), ('ut', 'NN')]",0,"['DET', 'NOUN', 'INTJ']",[],0,0,3,0,1
US66663A,1867-07-09,To all whom it may concern ,"['To', 'all', 'whom', 'it', 'may', 'concern']","[('To', 'TO'), ('all', 'DT'), ('whom', 'WP'), ('it', 'PRP'), ('may', 'MD'), ('concern', 'NN')]",0,"['ADP', 'PRON', 'PRON', 'PRON', 'AUX', 'VERB']",[],0,0,6,0,1
US66781A,1867-07-16,The oraphic co ,"['The', 'oraphic', 'co']","[('The', 'DT'), ('oraphic', 'JJ'), ('co', 'NN')]",0,"['DET', 'ADJ', 'NOUN']",[],0,0,3,0,1
US66967A,1867-07-23,The graphic co ,"['The', 'graphic', 'co']","[('The', 'DT'), ('graphic', 'JJ'), ('co', 'NN')]",0,"['DET', 'ADJ', 'NOUN']",[],0,0,3,0,1
US67055A,1867-07-23,To all whom it may concern ,"['To', 'all', 'whom', 'it', 'may', 'concern']","[('To', 'TO'), ('all', 'DT'), ('whom', 'WP'), ('it', 'PRP'), ('may', 'MD'), ('concern', 'NN')]",0,"['ADP', 'PRON', 'PRON', 'PRON', 'AUX', 'VERB']",[],0,0,6,0,1
US67071A,1867-07-23,To himself ,"['To', 'himself']","[('To', 'TO'), ('himself', 'PRP')]",0,"['ADP', 'PRON']",[],0,0,2,0,1
US67073A,1867-07-23,The graphic co ,"['The', 'graphic', 'co']","[('The', 'DT'), ('graphic', 'JJ'), ('co', 'NN')]",0,"['DET', 'ADJ', 'NOUN']",[],0,0,3,0,1
US67291A,1867-07-30,of rochester ,"['of', 'rochester']","[('of', 'IN'), ('rochester', 'NN')]",0,"['ADP', 'NOUN']",[],0,0,2,0,1
US67301A,1867-07-30,of pont i ac ,"['of', 'pont', 'i', 'ac']","[('of', 'IN'), ('pont', 'NN'), ('i', 'NN'), ('ac', 'VBP')]",0,"['ADP', 'NOUN', 'PRON', 'VERB']",[],0,0,4,0,1
US67350A,1867-07-30,Of glasgow ,"['Of', 'glasgow']","[('Of', 'IN'), ('glasgow', 'NN')]",0,"['ADP', 'NOUN']",[],0,0,2,0,1
