patent_number,date,title,tokens,nltk_pos,is_prpn_nltk,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,bad_endings
US129966A,1872-07-30,Improvement in ,"['Improvement', 'in']","[('Improvement', 'NN'), ('in', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US130124A,1872-08-06,Improvement in ,"['Improvement', 'in']","[('Improvement', 'NN'), ('in', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US130142A,1872-08-06,Improvement in ,"['Improvement', 'in']","[('Improvement', 'NN'), ('in', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US130505A,1872-08-13,Improvement in ,"['Improvement', 'in']","[('Improvement', 'NN'), ('in', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US130529A,1872-08-13,Improvement in ,"['Improvement', 'in']","[('Improvement', 'NN'), ('in', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US130663A,1872-08-20,Improvement in treating asbestus and obtaining useful products therefrom ,"['Improvement', 'in', 'treating', 'asbestus', 'and', 'obtaining', 'useful', 'products', 'therefrom']","[('Improvement', 'NN'), ('in', 'IN'), ('treating', 'VBG'), ('asbestus', 'NN'), ('and', 'CC'), ('obtaining', 'VBG'), ('useful', 'JJ'), ('products', 'NNS'), ('therefrom', 'IN')]",0,"['NOUN', 'ADP', 'VERB', 'NOUN', 'CCONJ', 'VERB', 'ADJ', 'NOUN', 'ADP']",[],0,0,9,1
US130725A,1872-08-20,Improvement in ,"['Improvement', 'in']","[('Improvement', 'NN'), ('in', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US130875A,1872-08-27,Improvement in ,"['Improvement', 'in']","[('Improvement', 'NN'), ('in', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US131762A,1872-10-01,Improvelvlenf in ,"['Improvelvlenf', 'in']","[('Improvelvlenf', 'NNP'), ('in', 'IN')]",1,"['ADJ', 'ADP']",[],0,0,2,1
US132531A,1872-10-29,Improvement in square-topped or ,"['Improvement', 'in', 'square-topped', 'or']","[('Improvement', 'NN'), ('in', 'IN'), ('square-topped', 'JJ'), ('or', 'CC')]",0,"['NOUN', 'ADP', 'NOUN', 'PUNCT', 'VERB', 'CCONJ']",[],0,0,6,1
US132932A,1872-11-12,Improvement in duplex telegraph instruments and circuits therefor ,"['Improvement', 'in', 'duplex', 'telegraph', 'instruments', 'and', 'circuits', 'therefor']","[('Improvement', 'NN'), ('in', 'IN'), ('duplex', 'JJ'), ('telegraph', 'NN'), ('instruments', 'NNS'), ('and', 'CC'), ('circuits', 'NNS'), ('therefor', 'VBP')]",0,"['NOUN', 'ADP', 'NOUN', 'NOUN', 'NOUN', 'CCONJ', 'NOUN', 'ADP']",[],0,0,8,1
US132942A,1872-11-12,Chaeles w ,"['Chaeles', 'w']","[('Chaeles', 'NNS'), ('w', 'VBP')]",0,"['VERB', 'ADP']",[],0,0,2,1
US133623A,1872-12-03,Andeeas w ,"['Andeeas', 'w']","[('Andeeas', 'NNP'), ('w', 'NN')]",1,"['VERB', 'ADP']",[],0,0,2,1
US133690A,1872-12-03,Improvement in refining iron and steel in ,"['Improvement', 'in', 'refining', 'iron', 'and', 'steel', 'in']","[('Improvement', 'NN'), ('in', 'IN'), ('refining', 'NN'), ('iron', 'NN'), ('and', 'CC'), ('steel', 'NN'), ('in', 'IN')]",0,"['NOUN', 'ADP', 'VERB', 'NOUN', 'CCONJ', 'NOUN', 'ADP']",[],0,0,7,1
US133716A,1872-12-10,Improvement in devices for ,"['Improvement', 'in', 'devices', 'for']","[('Improvement', 'NN'), ('in', 'IN'), ('devices', 'NNS'), ('for', 'IN')]",0,"['NOUN', 'ADP', 'NOUN', 'ADP']",[],0,0,4,1
US133796A,1872-12-10,Improvement in ,"['Improvement', 'in']","[('Improvement', 'NN'), ('in', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US133969A,1872-12-17,Improvement in the manufacture of pyroxyline and articles therefrom ,"['Improvement', 'in', 'the', 'manufacture', 'of', 'pyroxyline', 'and', 'articles', 'therefrom']","[('Improvement', 'NN'), ('in', 'IN'), ('the', 'DT'), ('manufacture', 'NN'), ('of', 'IN'), ('pyroxyline', 'NN'), ('and', 'CC'), ('articles', 'NNS'), ('therefrom', 'IN')]",0,"['NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'ADP']",[],0,0,9,1
US134447A,1872-12-31,Improvement in ,"['Improvement', 'in']","[('Improvement', 'NN'), ('in', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US135381A,1873-01-28,Improvement in ,"['Improvement', 'in']","[('Improvement', 'NN'), ('in', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US135622A,1873-02-11,Improvement in ,"['Improvement', 'in']","[('Improvement', 'NN'), ('in', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US136206A,1873-02-25,Improvement in ,"['Improvement', 'in']","[('Improvement', 'NN'), ('in', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US138048A,1873-04-22,Improvement in ,"['Improvement', 'in']","[('Improvement', 'NN'), ('in', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US138218A,1873-04-22,Improvement in ,"['Improvement', 'in']","[('Improvement', 'NN'), ('in', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US138633A,1873-05-06,Improvement in packings for pistons and stop-va es ,"['Improvement', 'in', 'packings', 'for', 'pistons', 'and', 'stop-va', 'es']","[('Improvement', 'NN'), ('in', 'IN'), ('packings', 'NNS'), ('for', 'IN'), ('pistons', 'NNS'), ('and', 'CC'), ('stop-va', 'JJ'), ('es', 'NN')]",0,"['NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'VERB', 'PUNCT', 'NOUN', 'ADP']",[],0,0,10,1
US138634A,1873-05-06,Chaeles w ,"['Chaeles', 'w']","[('Chaeles', 'NNS'), ('w', 'VBP')]",0,"['VERB', 'ADP']",[],0,0,2,1
US138635A,1873-05-06,Improvement in tuck-markers for sewing-machi es ,"['Improvement', 'in', 'tuck-markers', 'for', 'sewing-machi', 'es']","[('Improvement', 'NN'), ('in', 'IN'), ('tuck-markers', 'NNS'), ('for', 'IN'), ('sewing-machi', 'JJ'), ('es', 'NN')]",0,"['NOUN', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'ADP']",[],0,0,10,1
US138637A,1873-05-06,Improvement in presser-feet for sewing-machi es ,"['Improvement', 'in', 'presser-feet', 'for', 'sewing-machi', 'es']","[('Improvement', 'NN'), ('in', 'IN'), ('presser-feet', 'NN'), ('for', 'IN'), ('sewing-machi', 'JJ'), ('es', 'NN')]",0,"['NOUN', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'ADP']",[],0,0,10,1
US138793A,1873-05-13,Improvement in devices for ,"['Improvement', 'in', 'devices', 'for']","[('Improvement', 'NN'), ('in', 'IN'), ('devices', 'NNS'), ('for', 'IN')]",0,"['NOUN', 'ADP', 'NOUN', 'ADP']",[],0,0,4,1
US139690A,1873-06-10,Improvement in printing and dial telegraphs and circuits therefor ,"['Improvement', 'in', 'printing', 'and', 'dial', 'telegraphs', 'and', 'circuits', 'therefor']","[('Improvement', 'NN'), ('in', 'IN'), ('printing', 'NN'), ('and', 'CC'), ('dial', 'JJ'), ('telegraphs', 'NN'), ('and', 'CC'), ('circuits', 'NNS'), ('therefor', 'VBP')]",0,"['NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'NOUN', 'CCONJ', 'NOUN', 'ADP']",[],0,0,9,1
US140315A,1873-06-24,Improvement in ,"['Improvement', 'in']","[('Improvement', 'NN'), ('in', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US140461A,1873-07-01,Improvement in apparatus and processes for extracting saccharine matter from ,"['Improvement', 'in', 'apparatus', 'and', 'processes', 'for', 'extracting', 'saccharine', 'matter', 'from']","[('Improvement', 'NN'), ('in', 'IN'), ('apparatus', 'NN'), ('and', 'CC'), ('processes', 'NNS'), ('for', 'IN'), ('extracting', 'VBG'), ('saccharine', 'JJ'), ('matter', 'NN'), ('from', 'IN')]",0,"['NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'VERB', 'NOUN', 'NOUN', 'ADP']",[],0,0,10,1
US140680A,1873-07-08,Improvement in ,"['Improvement', 'in']","[('Improvement', 'NN'), ('in', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US140759A,1873-07-15,Improvement in treating bessemer steel and other metals to anneal them for ,"['Improvement', 'in', 'treating', 'bessemer', 'steel', 'and', 'other', 'metals', 'to', 'anneal', 'them', 'for']","[('Improvement', 'NN'), ('in', 'IN'), ('treating', 'VBG'), ('bessemer', 'NN'), ('steel', 'NN'), ('and', 'CC'), ('other', 'JJ'), ('metals', 'NNS'), ('to', 'TO'), ('anneal', 'VB'), ('them', 'PRP'), ('for', 'IN')]",0,"['NOUN', 'ADP', 'VERB', 'NOUN', 'NOUN', 'CCONJ', 'ADJ', 'NOUN', 'PART', 'VERB', 'PRON', 'ADP']",[],0,0,12,1
US141070A,1873-07-22,Improvement in ,"['Improvement', 'in']","[('Improvement', 'NN'), ('in', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US142208A,1873-08-26,Improvement in ,"['Improvement', 'in']","[('Improvement', 'NN'), ('in', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US143251A,1873-09-30,Improvement in ordnance and projectiles therefor ,"['Improvement', 'in', 'ordnance', 'and', 'projectiles', 'therefor']","[('Improvement', 'NN'), ('in', 'IN'), ('ordnance', 'NN'), ('and', 'CC'), ('projectiles', 'NNS'), ('therefor', 'VBP')]",0,"['NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'ADP']",[],0,0,6,1
US143691A,1873-10-14,Improvement in electrical and thermostatic fire-alarms and circuits therefor ,"['Improvement', 'in', 'electrical', 'and', 'thermostatic', 'fire-alarms', 'and', 'circuits', 'therefor']","[('Improvement', 'NN'), ('in', 'IN'), ('electrical', 'JJ'), ('and', 'CC'), ('thermostatic', 'JJ'), ('fire-alarms', 'NNS'), ('and', 'CC'), ('circuits', 'NNS'), ('therefor', 'VBP')]",0,"['NOUN', 'ADP', 'ADJ', 'CCONJ', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'CCONJ', 'NOUN', 'ADP']",[],0,0,11,1
US143829A,1873-10-21,Improvement in ,"['Improvement', 'in']","[('Improvement', 'NN'), ('in', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
