patent_number,date,title
US300266A,1884-06-10,Assigxoe to samuel c 
US300267A,1884-06-10,Combined cut-off and governor 
US300268A,1884-06-10,Chaeles p 
US300269A,1884-06-10,James s 
US300270A,1884-06-10,laezelere 
US300271A,1884-06-10,Henry b 
US300272A,1884-06-10,Chuck 
US300273A,1884-06-10,Portable range 
US300274A,1884-06-10,Bill and poster holder 
US300275A,1884-06-10,Thomas d 
US300276A,1884-06-10,Fence 
US300277A,1884-06-10,Stone-dressing machine 
US300278A,1884-06-10,Tile-machine 
US300279A,1884-06-10,Cash and parcel carrier 
US300280A,1884-06-10,Machine for compressing heels of boots or shoes 
US300281A,1884-06-10,Explosive compound 
US300282A,1884-06-10,Half to john coebus 
US300283A,1884-06-10,rowlands 
US300284A,1884-06-10,btjdiger 
US300285A,1884-06-10,Tracheotome 
US300286A,1884-06-10,Iiekry t 
US300287A,1884-06-10,Assig 
US300288A,1884-06-10,Apparatus for dispensing aerated waters 
US300289A,1884-06-10,Carpet-fastener 
US300290A,1884-06-10,Vehicle propelled by compressed air 
US300291A,1884-06-10,underwood 
US300292A,1884-06-10,John waed 
US300293A,1884-06-10,Samuel t 
US300294A,1884-06-10,Gas engine 
US300295A,1884-06-10,Ments 
US300296A,1884-06-10,Oil-press plate 
US300297A,1884-06-10,Automatic spring shade-roller 
US300298A,1884-06-10,Petejs 
US300299A,1884-06-10,Hestry t 
US300300A,1884-06-10,Assigfoe 
US300301A,1884-06-10,Portable bridge for unloading earth-scrapers 
US300302A,1884-06-10,Machine for seaming or double-seaming joints of sheet-metal roofing 
US300303A,1884-06-10,Edwaed feaskliay butlee 
US300304A,1884-06-10,Attaching device for awnings 
US300305A,1884-06-10,Assigxob op oxe-half to 
US300306A,1884-06-10,Railroad-track 
US300307A,1884-06-10,Sash-holder 
US300308A,1884-06-10,crandall 
US300309A,1884-06-10,Burglar-alarm for safes 
US300310A,1884-06-10,Burglar-alarm for safes 
US300311A,1884-06-10,James denveb 
US300312A,1884-06-10,dimolsr 
US300313A,1884-06-10,Clothes-wringer 
US300314A,1884-06-10,ellis 
US300315A,1884-06-10,Ben eystbr 
US300316A,1884-06-10,fowler  
US300317A,1884-06-10,Bit for inserting screw-eyes 
US300318A,1884-06-10,Ditching-machine 
US300319A,1884-06-10,George d 
US300320A,1884-06-10,Laed f 
US300321A,1884-06-10,Car-wheel 
US300322A,1884-06-10,Wabble-saw 
US300323A,1884-06-10,Oliver lo 
US300324A,1884-06-10,Alloy for coating metals 
US300325A,1884-06-10,noeton 
US300326A,1884-06-10,Turn-bridge gate 
US300327A,1884-06-10,Wagon-brake 
US300328A,1884-06-10,Fbancis d 
US300329A,1884-06-10,Johk j 
US300330A,1884-06-10,stewart 
US300331A,1884-06-10,Process of and apparatus for manufacturing gas 
US300332A,1884-06-10,Universal ball-joint 
US300333A,1884-06-10,Dredging-machine 
US300334A,1884-06-10,wttest 
US300335A,1884-06-10,Rice-hulling machine 
US300336A,1884-06-17,Heads of oases 
US300337A,1884-06-17,Gynecological and surgeon s operating-table 
US300338A,1884-06-17,Electrical governor for steam-engines 
US300339A,1884-06-17,-beintnall 
US300340A,1884-06-17,Patrick bbownley 
US300341A,1884-06-17,Telegeaph 
US300342A,1884-06-17,Carpet-stretcher 
US300343A,1884-06-17,Protecting piles 
US300344A,1884-06-17,Burial-windlass 
US300345A,1884-06-17,Lawn-mower 
US300346A,1884-06-17,Eichaed m 
US300347A,1884-06-17,Fire-escape 
US300348A,1884-06-17,Lubricating steam-engines 
US300349A,1884-06-17,Gear for reversing engines 
US300350A,1884-06-17,Graining compound 
US300351A,1884-06-17,Isaac t 
US300352A,1884-06-17,Samuel s 
US300353A,1884-06-17,D chaeles w 
US300354A,1884-06-17,Latch-clasp for driving-reins 
US300355A,1884-06-17,g-aednee 
US300356A,1884-06-17,Knife and fork 
US300357A,1884-06-17,Check-hook for harness-saddles 
US300358A,1884-06-17,Harness 
US300359A,1884-06-17,Joi-tx gowdey 
US300360A,1884-06-17,William gray 
US300361A,1884-06-17,Book case 
US300362A,1884-06-17,Car-axle box 
US300363A,1884-06-17,Thomas haeps 
US300364A,1884-06-17,Fence-post 
US300365A,1884-06-17,Device for expanding articles of flexible material 
US300366A,1884-06-17,Car pet-fastener 
US300367A,1884-06-17,Filter 
US300368A,1884-06-17,Machine for punching perforated sheet-music 
US300369A,1884-06-17,Lbyi houston 
US300370A,1884-06-17,Stop-cylinder printing-machine 
US300371A,1884-06-17,Flour-dressing machine 
US300372A,1884-06-17,Henry james johnson 
US300373A,1884-06-17,Valve for enginery and vessels 
US300374A,1884-06-17,Office 
US300375A,1884-06-17,Assig 
US300376A,1884-06-17,Fetess 
US300377A,1884-06-17,libey 
US300378A,1884-06-17,Trunk 
US300379A,1884-06-17,Machine foe making shane stiffeiers 
US300380A,1884-06-17,ltjdeke 
US300381A,1884-06-17,Hekey c 
US300382A,1884-06-17,manton 
US300383A,1884-06-17,Apparatus for distilling wood 
US300384A,1884-06-17,jiatiiieu 
US300385A,1884-06-17,Retort for carbonizing wood 
US300386A,1884-06-17,Oaven j 
US300387A,1884-06-17,Key-fastener 
US300388A,1884-06-17,Alphojtse montast 
US300389A,1884-06-17,Samuel a 
US300390A,1884-06-17,Wagon-dasher 
US300391A,1884-06-17,Corkscrew 
US300392A,1884-06-17,packeb 
US300393A,1884-06-17,pakker 
US300394A,1884-06-17,pelletiee 
US300395A,1884-06-17,Folding stairs 
US300396A,1884-06-17,Carpet-stretcher 
US300397A,1884-06-17,Traction-engine 
US300398A,1884-06-17,Apparatus for washing dishes 
US300399A,1884-06-17,Plane 
US300400A,1884-06-17,Wilbur l 
US300401A,1884-06-17,axel t 
US300402A,1884-06-17,Benjamin 
US300403A,1884-06-17,Machine 
US300404A,1884-06-17,Gottlieb a 
US300405A,1884-06-17,Log loader and turner 
US300406A,1884-06-17,Joseph john stoetzel 
US300407A,1884-06-17,tangney 
US300408A,1884-06-17,Clamp for wire ropes 
US300409A,1884-06-17,Cake-griddle 
US300410A,1884-06-17,Tsox coleman tichenob 
US300411A,1884-06-17,Eobeet h 
US300412A,1884-06-17,Wood-molding machine 
US300413A,1884-06-17,Horse spading-machine 
US300414A,1884-06-17,Oes op one-thied to b 
US300415A,1884-06-17,Abraham vax allen 
US300416A,1884-06-17,Stair-carpet fastener 
US300417A,1884-06-17,vansize 
US300418A,1884-06-17,Steam-generator 
US300419A,1884-06-17,Mechanical movement 
US300420A,1884-06-17,Regulator for dynamo-electric machines 
US300421A,1884-06-17,Blotting pad and ruler 
US300422A,1884-06-17,Telephone 
US300423A,1884-06-17,Tool for splitting stone 
US300424A,1884-06-17,Machine for cutting barrel-heads 
US300425A,1884-06-17,Mechanical power 
US300426A,1884-06-17,Machine for washing and concentrating ores 
US300427A,1884-06-17,Theodoe zangeb 
US300428A,1884-06-17,Theodoe zalsgee 
US300429A,1884-06-17,Machine for thrashing peas 
US300430A,1884-06-17,Back-band buckle 
US300431A,1884-06-17,Silk and other skeins 
US300432A,1884-06-17,Thomas e 
US300433A,1884-06-17,Electric-arc lamp 
US300434A,1884-06-17,bakee 
US300435A,1884-06-17,Peters 
US300436A,1884-06-17,beach 
US300437A,1884-06-17,Log-binder 
US300438A,1884-06-17,Dry-plate holder 
