patent_number,date,title,tokens,nltk_pos,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,bad_endings
US1688259A,1928-10-16,Zerntk,['Zerntk'],"[('Zerntk', 'NN')]",['NOUN'],[],0,0,1,0
US1688328A,1928-10-23,freysinger,['freysinger'],"[('freysinger', 'NN')]",['NOUN'],[],0,0,1,0
US1688378A,1928-10-23,Sylvamia,['Sylvamia'],"[('Sylvamia', 'NN')]",['NOUN'],[],0,0,1,0
US1688486A,1928-10-23,densmore,['densmore'],"[('densmore', 'NN')]",['NOUN'],[],0,0,1,0
US1688528A,1928-10-23,drake,['drake'],"[('drake', 'NN')]",['NOUN'],[],0,0,1,0
US1688852A,1928-10-23,christie,['christie'],"[('christie', 'NN')]",['NOUN'],[],0,0,1,0
US1688925A,1928-10-23,Brooder,['Brooder'],"[('Brooder', 'NN')]",['NOUN'],[],0,0,1,0
US1688936A,1928-10-23,mclean,['mclean'],"[('mclean', 'NN')]",['VERB'],[],0,0,1,0
US1688944A,1928-10-23,schulz,['schulz'],"[('schulz', 'NN')]",['NOUN'],[],0,0,1,0
US1688945A,1928-10-23,shipley,['shipley'],"[('shipley', 'NN')]",['NOUN'],[],0,0,1,0
US1689076A,1928-10-23,mccloud,['mccloud'],"[('mccloud', 'NN')]",['NOUN'],[],0,0,1,0
US1689084A,1928-10-23,Stove,['Stove'],"[('Stove', 'VB')]",['VERB'],[],0,0,1,0
US1689258A,1928-10-30,seymour,['seymour'],"[('seymour', 'NN')]",['ADJ'],[],0,0,1,0
US1689613A,1928-10-30,Ments,['Ments'],"[('Ments', 'NNS')]",['NOUN'],[],0,0,1,0
US1689645A,1928-10-30,table,['table'],"[('table', 'NN')]",['NOUN'],[],0,0,1,0
US1689691A,1928-10-30,Office,['Office'],"[('Office', 'NN')]",['NOUN'],[],0,0,1,0
US1689716A,1928-10-30,Setts,['Setts'],"[('Setts', 'NN')]",['NOUN'],['NORP'],0,0,1,0
US1689724A,1928-10-30,Setts,['Setts'],"[('Setts', 'NN')]",['NOUN'],['NORP'],0,0,1,0
US1689729A,1928-10-30,kelly,['kelly'],"[('kelly', 'RB')]",['ADV'],[],0,0,1,0
US1689765A,1928-10-30,baxter,['baxter'],"[('baxter', 'NN')]",['NOUN'],[],0,0,1,0
US1689805A,1928-10-30,Assigrkoe,['Assigrkoe'],"[('Assigrkoe', 'NN')]",['ADV'],['ORG'],0,0,1,0
US1689862A,1928-10-30,collins,['collins'],"[('collins', 'NNS')]",['VERB'],[],0,0,1,0
US1689905A,1928-10-30,yates,['yates'],"[('yates', 'NNS')]",['VERB'],[],0,0,1,0
US1690211A,1928-11-06,Rated,['Rated'],"[('Rated', 'VBN')]",['VERB'],[],0,0,1,0
US1690330A,1928-11-06,booth,['booth'],"[('booth', 'NN')]",['NOUN'],[],0,0,1,0
US1690546A,1928-11-06,Poration,['Poration'],"[('Poration', 'NN')]",['NOUN'],[],0,0,1,0
US1690577A,1928-11-06,Obgak,['Obgak'],"[('Obgak', 'NN')]",['NOUN'],[],0,0,1,0
US1690671A,1928-11-06,dressler,['dressler'],"[('dressler', 'NN')]",['VERB'],[],0,0,1,0
US1690875A,1928-11-06,osborne,['osborne'],"[('osborne', 'NN')]",['ADJ'],[],0,0,1,0
US1691555A,1928-11-13,schinke,['schinke'],"[('schinke', 'NN')]",['VERB'],[],0,0,1,0
US1691626A,1928-11-13,Valve,['Valve'],"[('Valve', 'VB')]",['VERB'],[],0,0,1,0
US1692075A,1928-11-20,carpineti,['carpineti'],"[('carpineti', 'NN')]",['VERB'],[],0,0,1,0
US1692155A,1928-11-20,brownell,['brownell'],"[('brownell', 'NN')]",['NOUN'],[],0,0,1,0
US1692193A,1928-11-20,wells,['wells'],"[('wells', 'NNS')]",['NOUN'],[],0,0,1,0
US1692323A,1928-11-20,Firegrate,['Firegrate'],"[('Firegrate', 'NN')]",['VERB'],[],0,0,1,0
US1692411A,1928-11-20,kassner,['kassner'],"[('kassner', 'NN')]",['NOUN'],[],0,0,1,0
US1692560A,1928-11-20,mokrejs,['mokrejs'],"[('mokrejs', 'NN')]",['VERB'],[],0,0,1,0
US1692587A,1928-11-20,Poration,['Poration'],"[('Poration', 'NN')]",['NOUN'],[],0,0,1,0
US1692747A,1928-11-20,Setts,['Setts'],"[('Setts', 'NN')]",['NOUN'],['NORP'],0,0,1,0
US1692813A,1928-11-27,brown,['brown'],"[('brown', 'NN')]",['ADJ'],[],0,0,1,0
US1693141A,1928-11-27,ducat,['ducat'],"[('ducat', 'NN')]",['NOUN'],[],0,0,1,0
US1693279A,1928-11-27,kreider,['kreider'],"[('kreider', 'NN')]",['NOUN'],[],0,0,1,0
US1693515A,1928-11-27,joyner,['joyner'],"[('joyner', 'NN')]",['NOUN'],[],0,0,1,0
US1693536A,1928-11-27,woodley,['woodley'],"[('woodley', 'NN')]",['NOUN'],[],0,0,1,0
US1693622A,1928-12-04,Setts,['Setts'],"[('Setts', 'NN')]",['NOUN'],['NORP'],0,0,1,0
US1693633A,1928-12-04,allen,['allen'],"[('allen', 'NN')]",['VERB'],[],0,0,1,0
US1693646A,1928-12-04,farmer,['farmer'],"[('farmer', 'NN')]",['NOUN'],[],0,0,1,0
US1693674A,1928-12-04,Field,['Field'],"[('Field', 'NN')]",['NOUN'],[],0,0,1,0
