patent_number,date,title,tokens,nltk_pos,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len
US1625381A,1927-04-19,Ltjdwig wallstrom,"['Ltjdwig', 'wallstrom']","[('Ltjdwig', 'NNP'), ('wallstrom', 'NN')]","['PROPN', 'NOUN']",['GPE'],1,0,2
US1625386A,1919-08-20,Shocker,['Shocker'],"[('Shocker', 'NN')]","['PROPN', 'SPACE']",['NORP'],1,0,2
US1625387A,1925-07-10,Banjo,['Banjo'],"[('Banjo', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1625399A,1927-04-19,Method,['Method'],"[('Method', 'NN')]",['PROPN'],[],1,0,1
US1625404A,1924-10-27,Faucet,['Faucet'],"[('Faucet', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1625406A,1924-04-24,Fastener,['Fastener'],"[('Fastener', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1625415A,1927-04-19,Lion lilienfeld,"['Lion', 'lilienfeld']","[('Lion', 'NNP'), ('lilienfeld', 'VBD')]","['PROPN', 'VERB']",[],1,0,2
US1625442A,1922-10-12,Filter,['Filter'],"[('Filter', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1625446A,1926-03-04,Phonograph,['Phonograph'],"[('Phonograph', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1625447A,1926-01-19,Exerciser,['Exerciser'],"[('Exerciser', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1625450A,1925-03-13,Furnace,['Furnace'],"[('Furnace', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1625479A,1925-03-26,Rheostat,['Rheostat'],"[('Rheostat', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1625529A,1924-11-22,Pasteurizer,['Pasteurizer'],"[('Pasteurizer', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1625537A,1926-05-25,Toothbush,['Toothbush'],"[('Toothbush', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1625545A,1923-03-20,Shim,['Shim'],"[('Shim', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1625584A,1926-02-05,Brake,['Brake'],"[('Brake', 'VB')]","['PROPN', 'SPACE']",[],1,0,2
US1625587A,1925-03-31,Barette,['Barette'],"[('Barette', 'NN')]","['PROPN', 'SPACE']",['ORG'],1,0,2
US1625600A,1926-04-06,Whipstock,['Whipstock'],"[('Whipstock', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1625611A,1926-09-20,Window,['Window'],"[('Window', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1625614A,1923-10-05,Spectacles,['Spectacles'],"[('Spectacles', 'NNS')]","['PROPN', 'SPACE']",[],1,0,2
US1625625A,1924-12-11,Seismograph,['Seismograph'],"[('Seismograph', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1625645A,1922-10-05,Insulator,['Insulator'],"[('Insulator', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1625670A,1925-08-11,Hat,['Hat'],"[('Hat', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1625693A,1926-01-15,Signal,['Signal'],"[('Signal', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1625703A,1925-08-21,Rheostat,['Rheostat'],"[('Rheostat', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1625710A,1926-06-11,Trap,['Trap'],"[('Trap', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1625806A,1922-01-23,Timer,['Timer'],"[('Timer', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1625811A,1922-11-11,Banjo,['Banjo'],"[('Banjo', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1625818A,1925-11-11,Turnbuckle,['Turnbuckle'],"[('Turnbuckle', 'NN')]","['PROPN', 'SPACE']",['ORG'],1,0,2
US1625834A,1926-09-30,Cultivator,['Cultivator'],"[('Cultivator', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1625849A,1925-01-14,Pipe,['Pipe'],"[('Pipe', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1625852A,1927-04-26,of munich,"['of', 'munich']","[('of', 'IN'), ('munich', 'NN')]","['ADP', 'PROPN']",[],1,0,2
US1625864A,1927-04-26,melin,['melin'],"[('melin', 'NN')]",['PROPN'],[],1,0,1
US1625906A,1926-04-23,Dilator,['Dilator'],"[('Dilator', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1625920A,1924-08-11,Box,['Box'],"[('Box', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1625943A,1925-12-21,Piston,['Piston'],"[('Piston', 'NN')]","['PROPN', 'SPACE']",['GPE'],1,0,2
