patent_number,date,title,tokens,nltk_pos,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,is_inventor
US1670682A,1928-05-22,Scott,['scott'],"[('Scott', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1671037A,1928-05-22,John mccltjbe,"['john', 'mccltjbe']","[('John', 'NNP'), ('mccltjbe', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1671645A,1928-05-29,la brie,"['la', 'brie']","[('la', 'NN'), ('brie', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1672000A,1928-06-05,Wilmersdorf,['wilmersdorf'],"[('Wilmersdorf', 'NN')]",['NOUN'],['PERSON'],0,1,1,1
US1672900A,1928-06-12,nichols,['nichols'],"[('nichols', 'NNS')]",['PROPN'],['PERSON'],1,1,1,1
US1673038A,1928-06-12,bogaskie,['bogaskie'],"[('bogaskie', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1673345A,1928-06-12,anderton,['anderton'],"[('anderton', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1673640A,1928-06-12,Gtjstav ratt,"['gtjstav', 'ratt']","[('Gtjstav', 'NNP'), ('ratt', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1673791A,1928-06-19,boyron,['boyron'],"[('boyron', 'NN')]",['NOUN'],['PERSON'],0,1,1,1
US1674658A,1928-06-26,Shajstk,['shajstk'],"[('Shajstk', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1674892A,1928-06-26,duncan,['duncan'],"[('duncan', 'JJ')]",['PROPN'],['PERSON'],1,1,1,1
US1675500A,1928-07-03,Walter xhopp,"['walter', 'xhopp']","[('Walter', 'NNP'), ('xhopp', 'NN')]","['PROPN', 'PUNCT']",['PERSON'],1,1,2,1
US1675501A,1928-07-03,Nicholas lehman,"['nicholas', 'lehman']","[('Nicholas', 'NNP'), ('lehman', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1675628A,1928-07-03,Joseph zubaty,"['joseph', 'zubaty']","[('Joseph', 'NNP'), ('zubaty', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1675819A,1928-07-03,peiler,['peiler'],"[('peiler', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1675821A,1928-07-03,Cobpoba,['cobpoba'],"[('Cobpoba', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1675948A,1928-07-03,mokee,['mokee'],"[('mokee', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1676007A,1928-07-03,Henry csanyi,"['henry', 'csanyi']","[('Henry', 'NNP'), ('csanyi', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1676346A,1928-07-10,Garibaldi nocito,"['garibaldi', 'nocito']","[('Garibaldi', 'NNP'), ('nocito', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1676407A,1928-07-10,Wilhelm,['wilhelm'],"[('Wilhelm', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1676653A,1928-07-10,Habby iisbece,"['habby', 'iisbece']","[('Habby', 'NNP'), ('iisbece', 'NN')]","['PROPN', 'VERB']",['PERSON'],1,1,2,1
US1676807A,1928-07-10,stevens,['stevens'],"[('stevens', 'NNS')]",['VERB'],['PERSON'],0,1,1,1
US1677304A,1928-07-17,Frederick w,"['frederick', 'w']","[('Frederick', 'NNP'), ('w', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1677343A,1928-07-17,howlett,['howlett'],"[('howlett', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1678229A,1928-07-24,Kino eabisi,"['kino', 'eabisi']","[('Kino', 'NNP'), ('eabisi', 'NN')]","['NOUN', 'VERB']",['PERSON'],0,1,2,1
US1678803A,1928-07-31,Joseph van,"['joseph', 'van']","[('Joseph', 'NNP'), ('van', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1679220A,1928-07-31,jahnkje,['jahnkje'],"[('jahnkje', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1679265A,1928-07-31,Nathan w,"['nathan', 'w']","[('Nathan', 'NNP'), ('w', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1679531A,1928-08-07,johnson,['johnson'],"[('johnson', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1679664A,1928-08-07,Hans jobdan,"['hans', 'jobdan']","[('Hans', 'NNS'), ('jobdan', 'VBP')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1680059A,1928-08-07,Assighoe,['assighoe'],"[('Assighoe', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1680097A,1926-08-31,William s,"['william', 's']","[('William', 'NNP'), ('s', 'NN')]","['PROPN', 'PART']",['PERSON'],1,1,2,1
US1680288A,1928-08-14,Albert qottschalk,"['albert', 'qottschalk']","[('Albert', 'NNP'), ('qottschalk', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1680341A,1926-09-03,Wrgnk kosenthal,"['wrgnk', 'kosenthal']","[('Wrgnk', 'NNP'), ('kosenthal', 'NN')]","['VERB', 'NOUN']",['PERSON'],0,1,2,1
US1680391A,1928-08-14,peiler,['peiler'],"[('peiler', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1680425A,1928-08-14,louis,['louis'],"[('louis', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1680478A,1928-08-14,Hammer mfg,"['hammer', 'mfg']","[('Hammer', 'NNP'), ('mfg', 'NN')]","['NOUN', 'NOUN']",['PERSON'],0,1,2,1
US1680808A,1928-08-14,Contbol mechanism,"['contbol', 'mechanism']","[('Contbol', 'NN'), ('mechanism', 'NN')]","['NOUN', 'NOUN']",['PERSON'],0,1,2,1
US1680869A,1928-08-14,Assigistob,['assigistob'],"[('Assigistob', 'NN')]",['VERB'],['PERSON'],0,1,1,1
US1680901A,1926-05-18,Ludwig meyer,"['ludwig', 'meyer']","[('Ludwig', 'NNP'), ('meyer', 'NN')]","['NOUN', 'NOUN']",['PERSON'],0,1,2,1
US1681069A,1928-08-14,theodoropulos,['theodoropulos'],"[('theodoropulos', 'NN')]",['NOUN'],['PERSON'],0,1,1,1
US1681251A,1928-08-21,Stanley w,"['stanley', 'w']","[('Stanley', 'NNP'), ('w', 'NN')]","['PROPN', 'X']",['PERSON'],1,1,2,1
US1681567A,1928-08-21,barrett,['barrett'],"[('barrett', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1682099A,1928-08-28,Fbiedmch soyez,"['fbiedmch', 'soyez']","[('Fbiedmch', 'NNP'), ('soyez', 'NN')]","['ADJ', 'NOUN']",['PERSON'],0,1,2,1
US1682105A,1928-08-28,austin,['austin'],"[('austin', 'NN')]",['NOUN'],['PERSON'],0,1,1,1
US1682169A,1928-08-28,Brttce dotoan,"['brttce', 'dotoan']","[('Brttce', 'NNP'), ('dotoan', 'NN')]","['ADJ', 'NOUN']",['PERSON'],0,1,2,1
US1682190A,1928-08-28,schein,['schein'],"[('schein', 'NN')]",['VERB'],['PERSON'],0,1,1,1
US1682199A,1928-08-28,Egbert h,"['egbert', 'h']","[('Egbert', 'NNP'), ('h', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1682201A,1928-08-28,thompson,['thompson'],"[('thompson', 'NN')]",['NOUN'],['PERSON'],0,1,1,1
US1682211A,1928-08-28,Joseph w,"['joseph', 'w']","[('Joseph', 'NNP'), ('w', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1682217A,1928-08-28,louis,['louis'],"[('louis', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1682260A,1928-08-28,Gustav zieglee,"['gustav', 'zieglee']","[('Gustav', 'NNP'), ('zieglee', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1682262A,1928-08-28,anton i,"['anton', 'i']","[('anton', 'NN'), ('i', 'NN')]","['PROPN', 'PRON']",['PERSON'],1,1,2,1
US1682278A,1928-08-28,Herman c,"['herman', 'c']","[('Herman', 'NNP'), ('c', 'NN')]","['PROPN', 'AUX']",['PERSON'],1,1,2,1
US1682284A,1928-08-28,jones,['jones'],"[('jones', 'NNS')]",['PROPN'],['PERSON'],1,1,1,1
US1682301A,1928-08-28,Max menkin,"['max', 'menkin']","[('Max', 'NNP'), ('menkin', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1682316A,1928-08-28,williams,['williams'],"[('williams', 'NNS')]",['PROPN'],['PERSON'],1,1,1,1
US1682329A,1928-08-28,John d,"['john', 'd']","[('John', 'NNP'), ('d', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1682336A,1928-08-28,Robert hentschel,"['robert', 'hentschel']","[('Robert', 'NNP'), ('hentschel', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1682341A,1928-08-28,Sireit sqtjawker,"['sireit', 'sqtjawker']","[('Sireit', 'NNP'), ('sqtjawker', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1682342A,1928-08-28,Iittcas keaet,"['iittcas', 'keaet']","[('Iittcas', 'NNP'), ('keaet', 'NN')]","['NOUN', 'VERB']",['PERSON'],0,1,2,1
US1682373A,1928-08-28,Ernest davis,"['ernest', 'davis']","[('Ernest', 'NNP'), ('davis', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
