patent_number,date,title,tokens,nltk_pos,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,bad_endings,bad_starts
US1664005A,1928-03-27,A corpo ,"['A', 'corpo']","[('A', 'DT'), ('corpo', 'NN')]","['DET', 'NOUN']",[],0,0,2,0,1
US1664101A,1928-03-27,A cobpobation of new ,"['A', 'cobpobation', 'of', 'new']","[('A', 'DT'), ('cobpobation', 'NN'), ('of', 'IN'), ('new', 'JJ')]","['DET', 'NOUN', 'ADP', 'ADJ']",[],0,0,4,0,1
US1664523A,1928-04-03,Of endicott ,"['Of', 'endicott']","[('Of', 'IN'), ('endicott', 'NN')]","['ADP', 'NOUN']",[],0,0,2,0,1
US1664955A,1928-04-03,A cobpobation of ,"['A', 'cobpobation', 'of']","[('A', 'DT'), ('cobpobation', 'NN'), ('of', 'IN')]","['DET', 'NOUN', 'ADP']",[],0,0,3,0,1
US1665606A,1928-04-10,A corpora ,"['A', 'corpora']","[('A', 'DT'), ('corpora', 'NN')]","['DET', 'X']",[],0,0,2,0,1
US1666184A,1928-04-17,A corpora ,"['A', 'corpora']","[('A', 'DT'), ('corpora', 'NN')]","['DET', 'X']",[],0,0,2,0,1
US1666639A,1928-04-17,of meriden ,"['of', 'meriden']","[('of', 'IN'), ('meriden', 'NN')]","['ADP', 'ADJ']",[],0,0,2,0,1
US1666819A,1928-04-17,of newark ,"['of', 'newark']","[('of', 'IN'), ('newark', 'NN')]","['ADP', 'NOUN']",[],0,0,2,0,1
US1666932A,1928-04-24,A coepoea ,"['A', 'coepoea']","[('A', 'DT'), ('coepoea', 'NN')]","['DET', 'NOUN']",[],0,0,2,0,1
US1667142A,1925-02-24,"Thermocouple 
     ",['Thermocouple'],"[('Thermocouple', 'NN')]","['DET', 'SPACE']",[],0,0,2,0,1
US1667235A,1928-04-24,of poet worth ,"['of', 'poet', 'worth']","[('of', 'IN'), ('poet', 'NN'), ('worth', 'NN')]","['ADP', 'NOUN', 'ADJ']",[],0,0,3,0,1
US1667283A,1928-04-24,of syracuse ,"['of', 'syracuse']","[('of', 'IN'), ('syracuse', 'NN')]","['ADP', 'NOUN']",[],0,0,2,0,1
US1667326A,1928-04-24,A coeporation of ,"['A', 'coeporation', 'of']","[('A', 'DT'), ('coeporation', 'NN'), ('of', 'IN')]","['DET', 'NOUN', 'ADP']",[],0,0,3,0,1
US1667357A,1928-04-24,A corpora ,"['A', 'corpora']","[('A', 'DT'), ('corpora', 'NN')]","['DET', 'X']",[],0,0,2,0,1
US1667374A,1928-04-24,A cobpobation of new jebsey ,"['A', 'cobpobation', 'of', 'new', 'jebsey']","[('A', 'DT'), ('cobpobation', 'NN'), ('of', 'IN'), ('new', 'JJ'), ('jebsey', 'NN')]","['DET', 'NOUN', 'ADP', 'ADJ', 'NOUN']",['ORG'],0,0,5,0,1
US1667533A,1928-04-24,Of  woecesteb ,"['Of', 'woecesteb']","[('Of', 'IN'), ('woecesteb', 'NN')]","['ADP', 'SPACE', 'NOUN']",[],0,0,3,0,1
US1667538A,1928-04-24,A corpora ,"['A', 'corpora']","[('A', 'DT'), ('corpora', 'NN')]","['DET', 'X']",[],0,0,2,0,1
US1667823A,1925-02-17,"Inside tube cutter 
     ","['Inside', 'tube', 'cutter']","[('Inside', 'IN'), ('tube', 'NN'), ('cutter', 'NN')]","['ADP', 'NOUN', 'NOUN', 'SPACE']",[],0,0,4,0,1
