patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,tokens,is_inventor
US1582A,1840-05-08 00:00:00,Alexander s,"['PROPN', 'VERB']",['PERSON'],1,1,2,"['alexander', 's']",1
US1585A,1840-05-08 00:00:00,bourguet,['VERB'],['PERSON'],0,1,1,['bourguet'],1
US1587A,1840-05-08 00:00:00,Matthew w,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['matthew', 'w']",1
US1588A,1840-05-08 00:00:00,William davison,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['william', 'davison']",1
US1595A,1840-05-08 00:00:00,Ralph bulkley,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['ralph', 'bulkley']",1
US1601A,1840-05-12 00:00:00,Joel hotjghton,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['joel', 'hotjghton']",1
US1615A,1840-05-25 00:00:00,Joseph evens,"['PROPN', 'VERB']",['PERSON'],1,1,2,"['joseph', 'evens']",1
US1642A,1840-06-17 00:00:00,James jobby,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['james', 'jobby']",1
US1652A,1840-06-27 00:00:00,James hamilton,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['james', 'hamilton']",1
US1660A,1840-06-27 00:00:00,Nicholas cooper,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['nicholas', 'cooper']",1
US1662A,1840-06-27 00:00:00,ariel nobris,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['ariel', 'nobris']",1
US1663A,1840-06-27 00:00:00,hamilton,['PROPN'],['PERSON'],1,1,1,['hamilton'],1
US1678A,1840-07-10 00:00:00,Peters,['PROPN'],['PERSON'],1,1,1,['peters'],1
US1725A,1840-08-18 00:00:00,John buech,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['john', 'buech']",1
US1727A,1840-08-25 00:00:00,William easby,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['william', 'easby']",1
US1733A,1840-08-25 00:00:00,Thomas cooper,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['thomas', 'cooper']",1
US1737A,1840-08-25 00:00:00,Matthew w,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['matthew', 'w']",1
US1768A,1840-09-04 00:00:00,peters,['NOUN'],['PERSON'],0,1,1,['peters'],1
US1807A,1840-10-08 00:00:00,John weir,"['PROPN', 'VERB']",['PERSON'],1,1,2,"['john', 'weir']",1
US1841A,1840-10-30 00:00:00,James h,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['james', 'h']",1
US1844A,1840-10-31 00:00:00,John kirkman,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['john', 'kirkman']",1
US1848A,1840-11-07 00:00:00,Edward gossefcln,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['edward', 'gossefcln']",1
US1856A,1840-11-13 00:00:00,Thomas lamb,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['thomas', 'lamb']",1
US1874A,1840-12-01 00:00:00,Villiams,['PROPN'],['PERSON'],1,1,1,['villiams'],1
US1892A,1840-12-10 00:00:00,William p,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['william', 'p']",1
US1906A,1840-12-17 00:00:00,Walteb buchanan,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['walteb', 'buchanan']",1
US1921A,1840-12-31 00:00:00,baldwin,['VERB'],['PERSON'],0,1,1,['baldwin'],1
US1929A,1841-01-09 00:00:00,John wilder,"['PROPN', 'VERB']",['PERSON'],1,1,2,"['john', 'wilder']",1
US1942A,1841-01-23 00:00:00,Martin bobbins,"['PROPN', 'VERB']",['PERSON'],1,1,2,"['martin', 'bobbins']",1
US1953A,1841-01-27 00:00:00,James h,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['james', 'h']",1
US1972A,1841-02-10 00:00:00,Joseph martin,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['joseph', 'martin']",1
US1976A,1841-02-12 00:00:00,jewett,['PROPN'],['PERSON'],1,1,1,['jewett'],1
US1987A,1841-02-20 00:00:00,austin,['NOUN'],['PERSON'],0,1,1,['austin'],1
US1988A,1841-02-20 00:00:00,peters,['NOUN'],['PERSON'],0,1,1,['peters'],1
US2018A,1841-03-26 00:00:00,Joseph francis,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['joseph', 'francis']",1
US2021A,1841-03-29 00:00:00,Peters,['PROPN'],['PERSON'],1,1,1,['peters'],1
US2048A,1841-04-16 00:00:00,Samuel goodwin,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['samuel', 'goodwin']",1
US2050A,1841-04-16 00:00:00,John b,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['john', 'b']",1
US2090A,1841-05-11 00:00:00,Thomas samson,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['thomas', 'samson']",1
US2097A,1841-05-15 00:00:00,William m,"['PROPN', 'VERB']",['PERSON'],1,1,2,"['william', 'm']",1
US2116A,1841-06-07 00:00:00,peters,['NOUN'],['PERSON'],0,1,1,['peters'],1
US2135A,1841-06-22 00:00:00,Charles f,"['PROPN', 'X']",['PERSON'],1,1,2,"['charles', 'f']",1
US2149A,1841-06-26 00:00:00,John thomas,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['john', 'thomas']",1
US2153A,1841-07-01 00:00:00,peters,['NOUN'],['PERSON'],0,1,1,['peters'],1
US2159A,1841-07-08 00:00:00,Charles d,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['charles', 'd']",1
US2160A,1841-07-08 00:00:00,van allen,"['PROPN', 'VERB']",['PERSON'],1,1,2,"['van', 'allen']",1
US2183A,1841-07-17 00:00:00,Thomas parkinson,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['thomas', 'parkinson']",1
US2185A,1841-07-23 00:00:00,James m,"['PROPN', 'VERB']",['PERSON'],1,1,2,"['james', 'm']",1
US2197A,1841-07-29 00:00:00,john a,"['PROPN', 'PRON']",['PERSON'],1,1,2,"['john', 'a']",1
US2201A,1841-07-29 00:00:00,Fowvler m,"['PROPN', 'VERB']",['PERSON'],1,1,2,"['fowvler', 'm']",1
US2233A,1841-08-28 00:00:00,Ethan campbell,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['ethan', 'campbell']",1
US2242A,1841-09-04 00:00:00,William whitham,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['william', 'whitham']",1
US2265A,1841-09-25 00:00:00,John abbott,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['john', 'abbott']",1
US2269A,1841-09-25 00:00:00,John a,"['PROPN', 'PRON']",['PERSON'],1,1,2,"['john', 'a']",1
US2281A,1841-10-09 00:00:00,Peters,['PROPN'],['PERSON'],1,1,1,['peters'],1
US2285A,1841-10-09 00:00:00,John g,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['john', 'g']",1
US2345A,1841-11-10 00:00:00,Joel farnam,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['joel', 'farnam']",1
US2347A,1841-11-10 00:00:00,peters,['NOUN'],['PERSON'],0,1,1,['peters'],1
US2377A,1841-11-25 00:00:00,William craig,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['william', 'craig']",1
US2384A,1841-12-10 00:00:00,John d,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['john', 'd']",1
US2387A,1841-12-14 00:00:00,Joel farnam,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['joel', 'farnam']",1
US2391A,1841-12-14 00:00:00,John johnson,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['john', 'johnson']",1
US2394A,1841-12-23 00:00:00,Liakd,['NOUN'],['PERSON'],0,1,1,['liakd'],1
US2401A,1841-12-23 00:00:00,George johnson,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['george', 'johnson']",1
US2415A,1842-01-08 00:00:00,James knipe,"['PROPN', 'VERB']",['PERSON'],1,1,2,"['james', 'knipe']",1
US2416A,1842-01-08 00:00:00,Liaed,['VERB'],['PERSON'],0,1,1,['liaed'],1
US2501A,1842-03-23 00:00:00,Hermann wendt,"['PROPN', 'VERB']",['PERSON'],1,1,2,"['hermann', 'wendt']",1
US2504A,1842-03-23 00:00:00,Daniel hodgman,"['PROPN', 'VERB']",['PERSON'],1,1,2,"['daniel', 'hodgman']",1
US2517A,1842-03-28 00:00:00,Henry peatt,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['henry', 'peatt']",1
US2541A,1842-04-06 00:00:00,James maokay,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['james', 'maokay']",1
US2547A,1842-04-11 00:00:00,Edward,['PROPN'],['PERSON'],1,1,2,['edward'],1
US2559A,1842-04-16 00:00:00,Chttkw,['NOUN'],['PERSON'],0,1,1,['chttkw'],1
US2563A,1842-04-16 00:00:00,Jonathan kidgway,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['jonathan', 'kidgway']",1
US2569A,1842-04-21 00:00:00,John brereton,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['john', 'brereton']",1
US2602A,1842-05-04 00:00:00,davis,['PROPN'],['PERSON'],1,1,1,['davis'],1
US2603A,1842-05-04 00:00:00,Chtrrbt,['NOUN'],['PERSON'],0,1,1,['chtrrbt'],1
US2607A,1842-05-04 00:00:00,Anson atwood,"['NOUN', 'NOUN']",['PERSON'],0,1,2,"['anson', 'atwood']",1
US2629A,1842-05-20 00:00:00,Petefis,['PROPN'],['PERSON'],1,1,1,['petefis'],1
US2656A,1842-05-30 00:00:00,Kichd,['PROPN'],['PERSON'],1,1,1,['kichd'],1
US2668A,1842-06-11 00:00:00,Joseph matjdslay,"['PROPN', 'VERB']",['PERSON'],1,1,2,"['joseph', 'matjdslay']",1
US2680A,1842-06-22 00:00:00,peters,['NOUN'],['PERSON'],0,1,1,['peters'],1
US2704A,1842-07-02 00:00:00,James hamilton,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['james', 'hamilton']",1
US2727A,1842-07-16 00:00:00,thomas l,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['thomas', 'l']",1
US2738A,1842-07-23 00:00:00,Uel west,"['NOUN', 'NOUN']",['PERSON'],0,1,2,"['uel', 'west']",1
US2753A,1842-08-18 00:00:00,Alexander m,"['PROPN', 'VERB']",['PERSON'],1,1,2,"['alexander', 'm']",1
